X,Y,m,M,q,x,y,k,r,d
897.8975,-71.2845,-6.722,-7.294,0.445,888.6874,20.7762,1,351.6688064,50.7188513
3533.5548,93.4306,-8.874,-9.511,0.642,3507.3071,21.0089,1,351.6855093,50.6839392
3830.6828,111.3714,-6.482,-7.124,0.437,3796.0049,21.3642,1,351.6874036,50.6800063
2017.1049,2.3166,-6.79,-7.394,0.364,2014.886,22.4255,1,351.6758275,50.7040089
2762.4575,47.6708,-7.551,-8.172,0.21,2752.6565,21.7119,1,351.6805756,50.6941418
3355.9586,84.1851,-5.476,-6.109,0.692,3334.208,22.3076,1,351.6843468,50.6862828
3669.3526,102.7227,-6.811,-7.45,0.455,3639.3977,22.2092,1,351.6863528,50.6821365
487.8523,-95.8708,-10.66,-11.218,0.556,469.4418,23.5571,1,351.6661843,50.7242776
2853.5887,54.9436,-5.934,-6.557,0.665,2842.2708,23.3793,1,351.6811207,50.692927
2904.6333,57.3973,-6.578,-7.202,0.53,2892.408,22.7474,1,351.6814591,50.6922544
3996.414,123.1816,-12.585,-13.23,0.113,3956.627,23.374,1,351.6884232,50.6778039
60.6566,-124.3555,-6.623,-7.166,0.377,28.4029,24.2932,1,351.6635107,50.7299446
2840.2143,55.2101,-7.792,-8.415,0.266,2829.1428,24.4287,1,351.6810134,50.6930988
3919.8099,119.4122,-8.044,-8.688,0.677,3882.4419,24.0711,1,351.6879174,50.6788138
808.5954,-72.5924,-6.732,-7.301,0.411,797.7215,25.3058,1,351.6681527,50.7200136
2008.8573,4.0346,-6.512,-7.115,0.436,2006.6844,24.6076,1,351.6757295,50.7041073
3399.1455,89.6755,-6.369,-7.003,0.385,3376.3743,25.1259,1,351.6845632,50.6856973
1193.4445,-46.1789,-8.329,-8.91,0.679,1188.4872,26.4116,1,351.670545,50.7149046
1823.6604,-5.7358,-9.205,-9.804,0.635,1821.9314,26.4636,1,351.6745188,50.7065518
2272.471,22.0679,-6.651,-7.261,0.347,2268.6611,26.1486,1,351.6773683,50.700608
3187.7151,78.482,-6.697,-7.327,0.55,3169.8848,26.5667,1,351.6831829,50.6884882
3799.3038,113.8395,-7.466,-8.108,0.224,3765.6084,25.5372,1,351.6871144,50.6804006
2377.7345,29.2998,-6.589,-7.201,0.416,2372.9543,26.8404,1,351.678022,50.6992105
2413.4816,31.2731,-7.433,-8.046,0.315,2408.3347,26.609,1,351.6782539,50.6987383
2800.9071,55.427,-5.632,-6.254,0.651,2790.5134,26.9669,1,351.6807098,50.6936066
2130.5894,16.5234,-6.652,-7.258,0.509,2127.8213,29.3531,1,351.6764013,50.7024713
3171.476,80.595,-8.444,-9.073,0.408,3154.0232,29.5647,1,351.6830161,50.6886883
3833.0486,120.1737,-11.572,-12.214,0.687,3798.3911,29.7373,1,351.6872418,50.6799333
4023.878,132.0673,-7.375,-8.021,0.228,3983.2986,30.4033,1,351.6884506,50.6774056
1701.6472,-8.7367,-9.744,-10.339,0.096,1699.896,31.0808,1,351.6736509,50.7081456
1873.7802,2.2411,-7.58,-8.179,0.192,1872.0173,31.1633,1,351.6747375,50.7058645
1898.3271,3.5441,-6.967,-7.567,0.481,1896.5134,30.922,1,351.6748978,50.7055405
2487.4028,40.2918,-8.031,-8.645,0.197,2481.4465,30.9471,1,351.6786324,50.6977379
2564.5303,44.6465,-9.543,-10.16,0.129,2557.6189,30.5634,1,351.6791306,50.6967185
2915.1696,66.8633,-6.641,-7.266,0.482,2902.8184,31.315,1,351.6813459,50.6920724
3459.3128,98.9016,-8.859,-9.494,0.54,3435.0886,30.5824,1,351.6848326,50.6848739
3762.147,117.6763,-6.351,-6.992,0.565,3729.6101,31.3662,1,351.6867533,50.6808631
3779.5962,118.7209,-6.863,-7.504,0.359,3746.5479,31.3801,1,351.6868647,50.6806322
3983.0179,129.9792,-8.223,-8.868,0.601,3943.7458,30.6982,1,351.6881824,50.6779446
3301.2862,91.4421,-7.387,-8.019,0.243,3280.9382,32.5093,1,351.6837824,50.6869556
1143.2291,-42.776,-8.46,-9.039,0.111,1137.6753,32.9582,1,351.6700928,50.7155382
1936.2765,7.5475,-6.637,-7.239,0.494,1934.3827,32.4945,1,351.675105,50.7050299
561.55,-80.087,-7.552,-8.112,0.319,545.0693,34.212,1,351.6664233,50.7232475
2803.7536,63.2023,-6.622,-7.244,0.372,2793.3677,34.3516,1,351.6805726,50.6935323
1802.2728,1.9785,-7.505,-8.103,0.217,1800.5894,35.3245,1,351.6741982,50.7067914
2527.8843,46.5175,-9.344,-9.96,0.633,2521.4583,34.5778,1,351.6788134,50.6971838
3218.0206,89.2828,-6.845,-7.476,0.639,3199.5969,35.2663,1,351.6831928,50.6880439
3265.9358,92.1808,-6.233,-6.865,0.427,3246.4343,35.2816,1,351.6834983,50.6874096
3902.6301,129.8328,-6.179,-6.822,0.619,3865.9238,35.1151,1,351.6875738,50.6789859
3037.8842,79.185,-9.234,-9.861,0.104,3023.2478,36.035,1,351.6820281,50.6904244
3430.8577,103.1201,-8.134,-8.769,0.179,3407.4062,36.3112,1,351.6845299,50.6852219
3504.421,108.1421,-7.049,-7.685,0.349,3479.0996,36.9254,1,351.6849871,50.6842454
3194.3765,91.1697,-9.594,-10.224,0.587,3176.5054,38.4777,1,351.6829743,50.6883408
